date,time,restraint_type
7/12/16,2:15pm,2 person control
7/13/16,11:50am,seated wrap
7/13/16,9:30am,childs hold
7/15/16,2:15pm,seated wrap
7/18/16,9:00am,seated wrap
7/18/16,2:15pm,seated wrap
7/20/16,9:06am,seated wrap
7/20/16,12:15pm,3 point supine hold
7/20/16,2:00pm,2 person control
7/21/16,12:00pm,2 person control
7/26/16,8:40am,3 person supine hold
7/25/16,9:30am,hold
7/25/16,10:00am,2 person control
7/26/16,1:15pm,hold
7/27/16,9:55am,safe hold
7/28/16,10:00am,3 man hold
7/29/16,1:18pm,3 point supine hold
7/29/16,10:35am,2 person control
8/2/16,9:00am,seated wrap
8/2/16,9:00am,small child
8/3/16,12:15pm,3 man supine
8/4/16,1:30pm,seated wrap
8/8/16,12:00pm,2 person control
8/8/16,9:15am,seated wrap
8/9/16,1:25pm,seated wrap
8/10/16,8:47am,3 point supine hold
8/11/16,10:40am,wrap and arm hold
8/12/16,1:35pm,seated wrap
9/6/16,10:20am,"3 person supine hold high level hold, seated"
9/7/16,1:35pm,position
9/7/16,10:00am,seated wrap
9/8/16,2:15pm,supine hold
9/8/16,10:20am,seated wrap
9/8/16,9:45am,3 person supine hold
9/8/16,10:50am,3 person supine hold
9/8/16,1:00pm,3 person supine hold
9/8/16,1:00pm,2 person supine
9/9/16,8:00am,take down supine position
9/9/16,9:30am,children's control
9/9/16,1:15pm,"2 person control children control, seated"
9/9/16,1:00pm,"wrap high level hold, seated"
9/9/16,1:45am,position
9/9/16,2:40pm,2 person control
9/12/16,2:05pm,2 person control
9/12/16,11:00am,children's control
9/13/16,1:05pm,3 man face up
9/13/16,10:10am,seated wrap
9/13/16,12:55pm,2 person control
9/13/16,12:5pm,3 person supine hold children's control &
9/13/16,1:20pm,transport
9/13/16,11:30am,modified seated
9/14/16,12:05pm,
9/14/16,10:30am,3 person hold
9/14/16,2:15pm,2 person control
9/14/16,10;30am,seated control
9/15/16,9:30am,seated wrap
9/15/16,1:00pm,2 person control
9/15/16,10:45am,seated wrap
9/15/16,2:00pm,2 person control
9/16/16,2:45pm,2 person control
9/16/16,10:05am,"3 point supine hold,backward escort/3 point"
9/16/16,2:15pm,hold
9/16/16,2:15pm,2 person control
9/16/16,1:15pm,2 person control
9/19/16,9:00am,basket hold
9/19/16,1:40pm,seated wrap
9/19/16,12:00pm,transport
9/19/16,10:45am,controlled wrap
9/19/16,9:10am,seated wrap
9/19/16,11:15am,"basket hold, chair hold/2 person"
9/20/16,11:15am,"takedown arm control, 2 person"
9/20/16,2:40,m holds
9/21/16,1:15pm,seated wrap
9/21/16,1:25pm,2 person control
9/22/16,11:15am,standing arm wrap
9/26/16,9:40am,2 person control
9/26/16,1:15pm,children's control
9/27/16,1:25pm,2 person control
9/27/16,9:45am,3 person supine hold
9/27/16,11:00am,standing arm wrap
9/27/16,12:00pm,seated wrap
9/27/16,1:35pm,"seated wrap standing wrap,2 person"
9/27/16,1:40pm,takedown
9/28/16,10:30am,seated wrap
9/28/16,10:15am,seated wrap
9/28/16,12:00pm,children's control
9/28/16,1:35pm,children's control 2 person escort & mat
9/28/16,9:30am,restraint
9/28/16,2:05pm,arm hold
9/29/16,9:50am,2 man seated
9/29/16,9:45am,arm wrap
9/29/16,10:00am,arm wrap
9/29/16,2:20pm,2 man seated
9/29/16,1:20pm,2 man seated control
9/29/16,9:00am,children's control
9/29/16,9:40am,children's control
9/29/16,11:00am,children's control
9/29/16,11:30am,children's control
9/30/16,9:45am,children's control
9/30/16,9:55am,children's control
9/30/16,10:15am,children's control
9/30/16,10:30am,children's control
9/30/16,1:10pm,2 man seated control
9/30/16,10:30am,children's control
10/5/16,11:35am,seated wrap
10/5/16,1:45pm,2 person control
10/6/16,11:20am,seated wrap
10/6/16,1:00pm,restraint sitting on floor
10/7/16,10:45am,seated wrap
10/11/16,1:45pm,2 person control
10/11/16,10:15am,children's control
10/11/16,10:30am,seated 2 man hold
10/13/16,9:15am,modified seated
10/13/16,12:05pm,seated control
10/14/16,11:10am,2 person control
10/14/16,10:45am,child's hold
10/18/16,10:20am,"children's control 1 person removal, seated"
10/18/16,11:15am,arm control
10/18/16,2:03pm,basket wrap
10/19/16,10:50am,child hold
10/19/16,2:30pm,child hold
10/19/16,12:41pm,seated chair
10/19/16,12:20pm,therapeutic hold
10/19/16,12:30pm,arm wrap
10/19/16,1:30pm,child hold
10/20/16,10:45am,child wrap
10/20/16,9:35am,children's control
10/21/16,12:20pm,2 person seated wrap
10/21/16,11:45am,arm control
10/21/16,9:05am,arm control
10/21/16,1:00pm,high standing position
10/21/16,2:20pm,seated wrap
10/24/16,1:45pm,2 person control
10/24/16,12:50pm,higher level standing
