,id,doc_type,date,start_time,end_time,description,restraint_type
0,ASSS_RI_01-part-1,Physical Restraint Documentation Form,7/31/2019,Start Time: 12:30,End Time: 1:00,"legan to escalate by being silly and yelling. We implemented strategies that usually help him to calm down. Walking, running, sensory strategies, and breathing. We used the 'zones' language. We tried to give him space at his desk. He kept lunging at staff",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
1,ASSS_RI_01-part-10,Physical Restraint Documentation Form,9:30,AM,10:10 Observers: Participants:,"S a new student here at and has little to no language. He was frustrated that he couldn't have something that he wanted and when told no it was group reading time he began yelling and crying,",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
2,ASSS_RI_01-part-11,Physical Restraint Documentation Form,9/12/19,11:20,classroom 11:40 Observers:,"came back from speech with a toy from the speech room that needed to be given back to speech therapist right then, so without having many options we had to take the toy from him after he refused to give it to",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
3,ASSS_RI_01-part-12,Physical Restraint Documentation Form,09/12/2019,8:25,8:30 Observers: Participants,"lad been upset due to a conflict with his peers on the bus. His emotions escalated into anger and violence quickly upon departing the bus. was able to come into the building, but began kicking his teachers and",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
4,ASSS_RI_01-part-13,Physical Restraint Documentation Form,09/13/19,AM,Hallway 9:15 Observers:,"was being threatened by a peer who was having a hard time. Staff was trying to redirect both students whe tried to attack the other student, and then staff. Staff intervened and",Please check which TCIS physical restraint was employed:Small Child Restraint - Standing Restraint
5,ASSS_RI_01-part-14,Physical Restraint Documentation Form,09/16/19,PM,Outside by bus 2:25 Observers:,"was upset when he got to the afternoon bus, and was told he needed to wear his harness. He tried to run from staff and then began yelling and kicking. He was held for his and staffs safety. RECEIVED",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
6,ASSS_RI_01-part-15,Physical Restraint Documentation Form,09/17/19,AM,Hallway by gym 9:25 Observers:,"vas upset about work. He didn't want to do the reading, and was told that he could just sit down at his desk. He started wandering around the class and then picked up a basket of headphones and threw them at",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
7,ASSS_RI_01-part-16,Physical Restraint Documentation Form,09/17/19,PM,Outside by bus 2:25 Observers:,"was on the bus to go home, and was refusing to put on his harness. He was screaming at the staff and kids. vas told that he either needed to put the harness on or he couldn't be transported on",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
8,ASSS_RI_01-part-17,Physical Restraint Documentation Form,09/05/2019,1:00,1:15 Observers: Participants:,"got upset when I asked him to repeat what he'd said for his answer to favorite sport. I apologized for not hearing him, and asked him if he wanted to say it again. He started swearing, threw his pencil and tore up his paper. He started to try and hit me, so I grabbed his wrists to stop him. He tried to kick another student who walked by, and 1 Put",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
9,ASSS_RI_01-part-18,Physical Restraint Documentation Form,09/10/2019,1:20,classroom 1:48 PM,"mood had been fluctuating for most of the afternoon. He appeared to be very tired and most signs indicated that something was bothering him, though las not able to talk about his feelings. While starting a work group",
10,ASSS_RI_01-part-2,Physical Restraint Documentation Form,08/08/2019,PM,1:38 PM Observers:,as upset that he had to make up work. He was cursing at staff. He attempted to run out of the room. He was stopped in the hall. He kicked staff and tried to run out of the building. RECEIVED,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
11,ASSS_RI_01-part-3,Physical Restraint Documentation Form,08/05/2019,1:35,1:45 Observers: Participants;,was upset that the gym wasnt open for earned time. He started yelling and swearing and throwing things around the room. The class was emptied and continued to get more upset. He ran to the back of the room and,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
12,ASSS_RI_01-part-4,Physical Restraint Documentation Form,08/12/2019,8:30,8:40 AM Observers:,"was upset on the bus ride in. He now has to wear a harness and was not happy. He was kicking the seats and swearing at staff and students. Once off the bus, he was kicking staff, and swearing at them. Staff tried to giv a little space and he tried to run away. Once staff stopped him, he continued kicking and was then placed in a small",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
13,ASSS_RI_01-part-5,Physical Restraint Documentation Form,08/13/2019,845,Outside gym 847 AM,was angry and stormed out of the classroom because he was frustrated with his work. He went into the gym and Ricked the fan over and threw a chair across the gym. The fire drill went off. We went outside and bushed staff,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
14,ASSS_RI_01-part-6,Physical Restraint Documentation Form,09/18/2019,Start Time: 11:23,End Time: 11:28,"scalated when his time on raz kids ended and he could not go on his avatar. At the same time a classmate was having a hard time and needed to go take a break. vas trying to ""save"" his friend from having to leave the room. It",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
15,ASSS_RI_01-part-7,Physical Restraint Documentation Form,Incident Date: 9/23/19,Start Time: 1:10,End Time: 1:14,"During was playing the game with classmates. Because turn taking is a challenge for she received many prompts and proximity support. She was able to be the ""tagger"" twice. Once it",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
16,ASSS_RI_01-part-8,Physical Restraint Documentation Form,Incident Date:9/30/19,Start Time: 9:12,End Time: 9:14,"was participating in a group activity, she was reminded to keep her hands on the table, she had them on her private parts. immediately became enraged and began running around the classroom, yelling and became aggressive toward staff (hitting, hair pulling). staff made several attempts to keep",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
17,ASSS_RI_01-part-9,Physical Restraint Documentation Form,09/10/2019,1:17,1:26 PM Observers:,"vas agitated from a previous argument with a peer, He had taken a break and went for a walk. Upon returning to the classroom, the building was engaged in a fire drill. did a great job lining up and leading his class in exiting",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
18,ASSS_RI_02-part-1,Physical Restraint Documentation Form,,,,,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
19,ASSS_RI_02-part-10,Physical Restraint Documentation Form,09/19/19,01:04,Classroom 01:10 Observers:,"became verbally and physically assaultive when he was told that he didn't earn enough points to use an iPad. He threw the iPad on the ground, began screaming expletives and physically attacked by kicking, punching and grabbing him.",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
20,ASSS_RI_02-part-11,Physical Restraint Documentation Form,Incident Date: 10/17/19,Start Time: 1:45,End Time: 1:52,"was upset that something he was writing did not go the way wanted was offered help or a break. He escalated quickly,",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
21,ASSS_RI_02-part-12,Physical Restraint Documentation Form,Incident Date: 10/21/2019,Start Time: 10:35,End Time: 10:43,,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
22,ASSS_RI_02-part-13,Physical Restraint Documentation Form,Incident Date: 10/21/2019,Start Time: 11:30,End Time: 11:36,"had been walking around the room attempting to throw and wreok objects. When teachers would have to maintain close proximity to to maintain his or someone else's safety,",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
23,ASSS_RI_02-part-14,Physical Restraint Documentation Form,Incident Date: 10/25/2019,Start Time: 10:56,End Time: 10:58,had reluctantly exited the and had moved into the hallway. He was agitated and when he was directed to either return to his classroom or take a break in the time out room,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
24,ASSS_RI_02-part-15,Physical Restraint Documentation Form,Incident Date: 10/28/2019,Start Time: 1:32,End Time: 1:39,las at his last work group of the day. had successfully gotten through listening to the book then had to complete an,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
25,ASSS_RI_02-part-16,Physical Restraint Documentation Form,Incident Date: 10/29/2019,Start Time: 8:44,End Time: 8:50,had become very frustrated that the new library books brought in were not ones he wanted. las angry and began,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
26,ASSS_RI_02-part-2,Physical Restraint Documentation Form,Incident Date: 9/13/2019,Start Time: 9:05,End Time: 9:40,"came into school upset because his driver had taken a different route to get to school, and parked in a spot that is unaccustomed to.",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
27,ASSS_RI_02-part-3,Physical Restraint Documentation Form,Incident Date: 9/30/19,Start Time: 2:05,End Time: 2:10,"At afternoon earned time, wanted to use a box to play with. He was told that it wasn't an option. He insisted that he was previously allowed to play with it.",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
28,ASSS_RI_02-part-4,Physical Restraint Documentation Form,09/06/2019,1:10,Classroom 1:20 PM,"was upset that she didn't get to pick the book at story time. She jumped out of her chair and threw it into the desk, and began screaming. She was briefly held until she calmed down. Once she was calm she said she was ready to sit at her deski",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
29,ASSS_RI_02-part-5,Physical Restraint Documentation Form,AM,AM,classroom 9:13 Observers:,"Student was perseverating about wanting to go home. His mood seemed to switch rapidly. He was offered several options of taking breaks. He said he was tired, but refused all options. He then got up from his desk, threw some objects and tried to throw 2 chairs. Staff intervened by just holding his upper body and keeping",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
30,ASSS_RI_02-part-6,Physical Restraint Documentation Form,09/12/2019,Incident Location:,1:47 Observers) Participants;,was upset that he didinot have enough dollars to earn his prize. After receiving his dollars and realizing that ne would not have enough money he threw himself back and began to ory and scream and fiali his body around.,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
31,ASSS_RI_02-part-7,Physical Restraint Documentation Form,Incident Date: 9/17/19,Start Time: 10:30,End Time: 10:30,was engaging in aspression and vos setting in people's pisand space . HIS peer's whe seed and asked to look the clashuom He retised to let his peers art and had,
32,ASSS_RI_02-part-8,Physical Restraint Documentation Form,Incident Date:9/27/20109,Start Time: 12:28,End Time: 12:30 pm,"wanted something that he could not have at the time and began getting upset. Staff showed a visual to help support him, but",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
33,ASSS_RI_02-part-9,Physical Restraint Documentation Form,Incident Date: 9/19/19,Start Time: 9:03,End Time: 9:05,became physically combative during class. He displayed unsafe behavior by getting on top of his desk and throwing objects. He began repeatedly screaming that was a,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
34,ASSS_RI_03-part-1,Physical Restraint Documentation Form,Incident Date: 10/29/2019,Start Time: 8:50,End Time: 8:53,lad been released from a physical restraint and re-escalated to violence immediately. He began punching his teachers and would not stop when we attempted to give him space. He was placed in a small-child restraint to maintain teacher's safety. RECEIVED,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
35,ASSS_RI_03-part-10,Physical Restraint Documentation Form,10/9/19,9:20,Classroom 9:23 Observers:,"Teacher was in hallway on phone due to student's behavior. Student took pencils, tried to jab teacher with pencil held in fist.",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
36,ASSS_RI_03-part-11,Physical Restraint Documentation Form,10/3/2019,Start Time: 9:00,End Time: 9:23,had become very agitated while discussing his morning bus ride. lad been inappropriate on the bus and had not earned his bus points for the morning.,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
37,ASSS_RI_03-part-12,Physical Restraint Documentation Form,Incident Date: 10/15/2019,Start Time: 10:00,End Time: 10:15 am,"appeared to arrive to school without his medication- high energy, super talkative, very hungry. He was asked to sit for points and get ready for the next activity following art class. He got up and flung his box full of materials, kicked the shelf, and attempted to",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
38,ASSS_RI_03-part-13,Physical Restraint Documentation Form,Incident Date: 10/03/19,Start Time: 9:30am,End Time: 9:50am,,
39,ASSS_RI_03-part-14,Physical Restraint Documentation Form,Incident Date: 10/03/19,Start Time: 1:47pm,End Time: 1:55,was upset. Another Student was bothering him with noises. svolume began to escalate and he when back to his cubby. while in his cubby he began pounding against his wall. He was asked to be safe and quiet. He then started to grab things,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
40,ASSS_RI_03-part-2,Physical Restraint Documentation Form,Incident Date: 10/30/2019,Start Time: 10:11,End Time: 10:13,had returned from the school presentation of Cinderella and was running around the room. was offered a break. Ibegan,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
41,ASSS_RI_03-part-3,Physical Restraint Documentation Form,Incident Date: 10/30/2019,Start Time: 12:30,End Time: 12:35,Continued to be upset following the previous physical intervention. He had made the plan to take a break in the time out room to continue to relax: Ibegan aggressing immediately began punching his teachers and was placed back in a small-child restraint to,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
42,ASSS_RI_03-part-4,Physical Restraint Documentation Form,Incident Date: 10/30/2019,Start Time: 12:36,End Time: 12:40,"repeated the action of expressing his desire to take a break in the time out room following a physical restraint. However, when prompted to do so, began aggressing toward his teachers again. He was placed in a small-child restraint to maintain teacher's",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
