,id,school_building,date,start_time,end_time,description,restraint_type,injury
0,TROY_RI_02_Part1,JAN 1 2 2018,Date of Incident: 1/9/18,Start: 12:40 End: office ofthe go perintendent,Start: 12:40 End: office ofthe go perintendent,"(internaround gym Did not want to go toUPSet wastricher. teacher, punching falder running",Describe Physical Involvement/Type of Restraint:one Person small Child.,Medical Report/Nurses Note: Dinjuries or marksSignature of Employee using Restraint: monique anothers
1,TROY_RI_02_Part10,School Bldg: #2,Date of Incident: 2/1/18,of Incident: Start: 9:40 End: 143,of Incident: Start: 9:40 End: 143,Pushing and nothing staff.Events Prior to Restraint:,Describe Physical Involvement/Type of Restraint:Smell child restruct,Medical Report/Nurses Note: einsure or marksPrincipal's Review and Signature:
2,TROY_RI_02_Part11,pf the 5 erintendent,42118 Time of Incident: Start: 1245 End: once TISS,42118 Time of Incident: Start: 1245 End: once TISS,42118 Time of Incident: Start: 1245 End: once TISS,,,Medical Report/Nurses Note: smarks disources seen kewSignature of Employee using Restraint: monique anastahas
3,TROY_RI_02_Part12,2,Date of Incident: 2/12/18 Time Start: 12.30 Endo,Date of Incident: 2/12/18 Time Start: 12.30 Endo,,Student was frustrated coming Four screaming was prompted tutake a walk once outside repentedly hit staff and destrantEvents Prior to Restraint:,Describe Physical Involvement/Type of Restraint:Dec person small Child,Medical Report/Nurses Note: Dinjuries or marks noted HAW*
4,TROY_RI_02_Part13,,Date of Incident: 2/13/13rm Start: 10:10 End:,Date of Incident: 2/13/13rm Start: 10:10 End:,Date of Incident: 2/13/13rm Start: 10:10 End:,Student was physically aggrasse to wase staff.Events Prior to Restraint:,Describe Physical Involvement/Type of Restraint:2 . person,Medical Report/Nurses Note: smarks or injuriesany
5,TROY_RI_02_Part14,2,Date of Incident: 2/13/18 Time Start: 12:65 End:,Date of Incident: 2/13/18 Time Start: 12:65 End:,Date of Incident: 2/13/18 Time Start: 12:65 End:,Student was frustraled with gym activityand become physically aggressive towardsSteff,Describe Physical Involvement/Type of Restraint:small Child,Medical Report/Nurses Note: Dinjuries or marks KENRO.
6,TROY_RI_02_Part15,School Bldg: #2 Date of Incident: 2/26/88 Time Start: 11:30 End: 11:40,School Bldg: #2 Date of Incident: 2/26/88 Time Start: 11:30 End: 11:40,School Bldg: #2 Date of Incident: 2/26/88 Time Start: 11:30 End: 11:40,School Bldg: #2 Date of Incident: 2/26/88 Time Start: 11:30 End: 11:40,Student was asked to tale a byak before transitiving to lunch unsatel.moushy funniture hitting staff making threatening comments anotherThreatenel to kil,Describe Physical Involvement/Type of Restraint:One person small child,Medical Report/Nurses Note: Dinjuries or marks seen (LW.
7,TROY_RI_02_Part16,2/27/18,2/27/18,Time Start: 11:30 End: 11:35,Time Start: 11:30 End: 11:35,"Punching the wall pushing furniture andclimbing or Pop of divides , hitting staffEvents Prior to Restraint:",Describe Physical Involvement/Type of Restraint:Small child restraint,Medical Report/Nurses Note: Dinjuries 01 marks seen JACK.
8,TROY_RI_02_Part17,School Bldg: #2,Date of Incident: 2/27/18 Time Start: 11:55 End: 12:00,Date of Incident: 2/27/18 Time Start: 11:55 End: 12:00,Date of Incident: 2/27/18 Time Start: 11:55 End: 12:00,Hitting and pushing staff.Events Prior to Restraint:,Describe Physical Involvement/Type of Restraint:Small child restraint,Medical Report/Nurses Note: airpurs cl injures sees YH.
9,TROY_RI_02_Part18,School Bldg: #2,Date of Incident: 2/28/18 Time Start: 1:00,Date of Incident: 2/28/18 Time Start: 1:00,End: 1:20,"pushing Fumiture climbing on partitions,hitting and pushing staff.",Describe Physical Involvement/Type of Restraint:Small child restruct,Medical Report/Nurses Note: smarks or injuries noted Ten.
