,Table: Table_1,id
"('Date ', 'Staff ', 'Time IN ', 'Time OUT ', 'Total Time ', 'Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ')",,SCH_SI_01_Page_214
"('4/30 ', nan, '11:00 ', '11:10 ', '10 ', '1 ')",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"(nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_214
"('Date ', 'Student ', 'Staff ', 'Time In ', 'Time out ', 'Total time ', 'Door open/closed ')",,SCH_SI_02_Page_132
"('22 ', nan, nan, '8:49 ', '9:15 ', '24 ', 'Clonel ')",,SCH_SI_02_Page_132
"('3/22 ', nan, nan, '9:15 ', '920 ', '5 ', 'open ')",,SCH_SI_02_Page_132
"('3/30 ', nan, nan, '10:10 ', '10:18 ', '8 ', 'closed ')",,SCH_SI_02_Page_132
"('3/31 ', nan, nan, '944 ', '10:00 ', '13 ', 'closed ')",,SCH_SI_02_Page_132
"('3/31 ', nan, nan, '10:17 ', '10:40 ', '23 ', 'closed ')",,SCH_SI_02_Page_132
"('3/31 ', nan, nan, '10:40 ', '10:44 ', '4 ', 'open ')",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_132
"(nan, 'Date ', 'Student Name ', 'Time entered room ', 'Time exited room ', 'Total length of time* ', 'Supervised ', 'by: ', '(T) Jeacher (S)tudent directed ', 'Complia nce with BIP ', 'Imminent risk of harm to (S) elf (0) thers ', 'Antecedent (S)elf-regulation (A) cademic frustration (P) eer Issues (G) uided break ')",,SCH_SI_02_Page_091
"(nan, '24 ', nan, '930 ', '945 ', '15 ', nan, nan, '+ ', 'V ', '5/0 ', 'S ')",,SCH_SI_02_Page_091
"(nan, 'allay ', nan, '9:45 ', '9:50 ', 'is ', nan, nan, 'T ', 'X J ', '8/8 ', 'S ')",,SCH_SI_02_Page_091
"(nan, '24 ', nan, '9:51 ', '1004 ', '15 ', nan, nan, 'T ', 'X V ', 'O ', 'S ')",,SCH_SI_02_Page_091
"(nan, '2/24 ', nan, '1005 ', '1015 ', '10 ', nan, nan, 'T ', 'X ', 'S ', 'S ')",,SCH_SI_02_Page_091
"(nan, '21 ', nan, '1:35 ', '1:50 ', '15 ', nan, nan, 'T ', 'X ', '5 ', '5 ')",,SCH_SI_02_Page_091
"(nan, '/26 ', nan, '9:15 ', '930 ', '15 ', nan, nan, '+ ', 'X ', '5 ', '5 ')",,SCH_SI_02_Page_091
"(nan, '26 ', nan, '9.35 ', '950 ', 'IS ', nan, nan, 'I ', 'X V ', '5/0 ', 'S ')",,SCH_SI_02_Page_091
"(nan, '26 ', nan, '950 ', '1000 ', '10 ', nan, nan, 'T ', 'X V ', '5/5 ', 'S ')",,SCH_SI_02_Page_091
"(nan, '26 ', nan, '1008 ', '1023 ', '15 ', nan, nan, 'T ', 'X V ', '8/0 ', 'S ')",,SCH_SI_02_Page_091
"(nan, '210 ', nan, '1023 ', '1031 ', '8 ', nan, nan, 'T ', 'X V ', '0 ', 'S ')",,SCH_SI_02_Page_091
"(nan, '26 ', nan, '11"" ', ""11'25 "", '15 ', nan, nan, 'T ', 'X V ', '0 ', 'S ')",,SCH_SI_02_Page_091
"('it ', '26 ', 'a ', '11:25 ', '1133 ', '16 ', '5 ', nan, '+ ', 'X V ', '0 ', '5 ')",,SCH_SI_02_Page_091
"(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_091
"(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_091
"(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_091
"(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_091
"(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_02_Page_091
"('Date ', 'Staff ', 'Time IN ', 'Time OUT ', 'Total Time ', 'Please Check to Confirm: Room was used for De-escalation', ' with the door closed. (Break Room Use for relaxation / with door open will be recorded separately', ' per student plans). ')",,SCH_SI_01_Page_071
"('5/22 ', nan, '1237 ', '1234 ', '2min ', 'X ', nan, nan)",,SCH_SI_01_Page_071
"('5/23 ', 'X ', '10200 ', nan, nan, 'X ', nan, nan)",,SCH_SI_01_Page_071
"('5/23 ', 'X ', '10 00 ', '1108 ', '9 min ', 'X ', nan, nan)",,SCH_SI_01_Page_071
"('5/23 ', 'X ', '1101 ', '1205 ', '8 min ', 'X ', nan, nan)",,SCH_SI_01_Page_071
"('5/28 ', 'X ', '1209 ', '1215 ', '6 nin ', 'X ', nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"(nan, nan, nan, nan, nan, nan, nan, nan)",,SCH_SI_01_Page_071
"('Date ', 'Staff ', 'Time IN ', 'Time OUT ', 'Total Time ', 'Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ')",,SCH_SI_02_Page_053
"('1114 ', nan, '8:55 ', '9:15 ', '20 ', 'I ')",,SCH_SI_02_Page_053
"('11114 ', nan, '11:50 ', '12:10 ', '20 ', '1 ')",,SCH_SI_02_Page_053
"('1114 ', nan, '12:15 ', ""12'25 "", '10 ', '1 ')",,SCH_SI_02_Page_053
"('1114 ', nan, '12:30 ', '12:35 ', '5 ', 'I ')",,SCH_SI_02_Page_053
"('1114 ', nan, '1:40 ', '2:00 ', '20 ', 'I ')",,SCH_SI_02_Page_053
"('1117 ', nan, '11.30 ', '11:50 ', '70 ', 'I ')",,SCH_SI_02_Page_053
"('1118 ', nan, '11:40 ', '12:00 ', '20 ', 'I ')",,SCH_SI_02_Page_053
"('11/8 ', nan, '12:10 ', '12120 ', '10 ', 'I ')",,SCH_SI_02_Page_053
"('1118 ', nan, '12:25 ', '12:45 ', '20 ', 'I ')",,SCH_SI_02_Page_053
"('1116 ', nan, '2:50 ', '1:00 ', '10 ', 'I ')",,SCH_SI_02_Page_053
"('1118 ', nan, '1110 ', '1:20 ', '10 ', 'I ')",,SCH_SI_02_Page_053
"('11112 ', nan, 'lliss ', '11:30 ', 'is ', 'O ')",,SCH_SI_02_Page_053
"(nan, nan, nan, 'TRT7 ', nan, nan)",,SCH_SI_02_Page_053
"(nan, nan, '11:25 ', '11:38 ', nan, nan)",,SCH_SI_02_Page_053
"(nan, nan, nan, '12 ', '20 ', '0 ')",,SCH_SI_02_Page_053
"('11/20 ', nan, '7i35 ', '7:50 ', '15 ', 'I ')",,SCH_SI_02_Page_053
"('11/20 ', nan, 'list ', '200 ', '4 ', 'I ')",,SCH_SI_02_Page_053
"('11122 L ', nan, '9:02 ', '9:35 ', '18 ', '0 ')",,SCH_SI_02_Page_053
"(nan, nan, '1:45 ', '1:00 ', '5 ', nan)",,SCH_SI_02_Page_053
